MakeID,Make,Body_Type,Year_Month,Units_Sold
1,AITO Wenjie,SUV,2023-12-01,25545
1,AITO Wenjie,SUV,2024-01-01,29997
1,AITO Wenjie,SUV,2024-02-01,21083
1,AITO Wenjie,SUV,2024-03-01,18512
1,AITO Wenjie,SUV,2024-04-01,15139
2,Aion,SUV,2023-11-01,1910
2,Aion,SUV,2023-12-01,1594
2,Aion,SUV,2024-01-01,504
2,Aion,SUV,2024-02-01,268
2,Aion,SUV,2024-03-01,494
2,Aion,SUV,2024-04-01,430
2,Aion,Sedan,2023-08-01,710
2,Aion,Sedan,2023-09-01,706
2,Aion,Sedan,2023-10-01,506
2,Aion,Sedan,2023-11-01,100
2,Aion,Sedan,2023-12-01,435
2,Aion,Sedan,2024-01-01,315
2,Aion,Sedan,2024-02-01,232
2,Aion,Sedan,2024-03-01,1025
2,Aion,Sedan,2024-04-01,584
2,Aion,Sports Car,2024-03-01,4
2,Aion,Sports Car,2024-04-01,4
3,Aiways,SUV,2020-12-01,881
3,Aiways,SUV,2021-01-01,643
3,Aiways,SUV,2021-02-01,518
3,Aiways,SUV,2021-03-01,717
3,Aiways,SUV,2021-04-01,337
3,Aiways,SUV,2021-05-01,65
3,Aiways,SUV,2021-06-01,181
3,Aiways,SUV,2021-09-01,94
3,Aiways,SUV,2021-10-01,37
3,Aiways,SUV,2021-11-01,28
3,Aiways,SUV,2021-12-01,78
3,Aiways,SUV,2022-01-01,134
3,Aiways,SUV,2022-02-01,15
3,Aiways,SUV,2022-03-01,415
3,Aiways,SUV,2022-04-01,190
3,Aiways,SUV,2022-05-01,367
3,Aiways,SUV,2022-06-01,305
3,Aiways,SUV,2022-07-01,808
3,Aiways,SUV,2022-08-01,180
3,Aiways,SUV,2022-09-01,794
3,Aiways,SUV,2022-10-01,458
3,Aiways,SUV,2022-11-01,594
3,Aiways,SUV,2022-12-01,280
3,Aiways,SUV,2023-01-01,22
3,Aiways,SUV,2023-02-01,24
3,Aiways,SUV,2023-03-01,32
3,Aiways,SUV,2023-04-01,16
4,Avita Technology,SUV,2022-12-01,757
4,Avita Technology,SUV,2023-01-01,1415
4,Avita Technology,SUV,2023-02-01,2018
4,Avita Technology,SUV,2023-03-01,2221
4,Avita Technology,SUV,2023-04-01,1610
4,Avita Technology,SUV,2023-05-01,1738
4,Avita Technology,SUV,2023-06-01,1753
4,Avita Technology,SUV,2023-07-01,1200
4,Avita Technology,SUV,2023-08-01,1130
4,Avita Technology,SUV,2023-09-01,1659
4,Avita Technology,SUV,2023-10-01,2825
4,Avita Technology,SUV,2023-11-01,1894
4,Avita Technology,SUV,2023-12-01,2202
4,Avita Technology,SUV,2024-01-01,1503
4,Avita Technology,SUV,2024-02-01,579
4,Avita Technology,SUV,2024-03-01,1260
4,Avita Technology,SUV,2024-04-01,662
4,Avita Technology,Sedan,2023-12-01,1820
4,Avita Technology,Sedan,2024-02-01,1315
4,Avita Technology,Sedan,2024-03-01,3106
4,Avita Technology,Sedan,2024-04-01,3733
5,BAIC,SUV,2023-11-01,913
5,BAIC,SUV,2023-12-01,1657
5,BAIC,SUV,2024-01-01,181
5,BAIC,SUV,2024-02-01,235
5,BAIC,SUV,2024-03-01,648
5,BAIC,SUV,2024-04-01,576
5,BAIC,Sedan,2023-11-01,5741
5,BAIC,Sedan,2023-12-01,12811
5,BAIC,Sedan,2024-01-01,775
5,BAIC,Sedan,2024-02-01,1110
5,BAIC,Sedan,2024-03-01,5221
5,BAIC,Sedan,2024-04-01,556
6,BAIC Changhe,Hatchback,2019-12-01,181
6,BAIC Changhe,Hatchback,2020-01-01,3
6,BAIC Changhe,Hatchback,2020-04-01,11
6,BAIC Changhe,Hatchback,2020-05-01,4
6,BAIC Changhe,Hatchback,2020-06-01,3
6,BAIC Changhe,Hatchback,2020-10-01,20
6,BAIC Changhe,Hatchback,2021-01-01,27
6,BAIC Changhe,Hatchback,2021-02-01,12
6,BAIC Changhe,Hatchback,2021-03-01,3
6,BAIC Changhe,Hatchback,2021-10-01,10
6,BAIC Changhe,Hatchback,2021-11-01,153
6,BAIC Changhe,Hatchback,2021-12-01,13
6,BAIC Changhe,Hatchback,2022-01-01,13
6,BAIC Changhe,Hatchback,2022-04-01,44
6,BAIC Changhe,Hatchback,2022-08-01,1
6,BAIC Changhe,MPV,2018-01-01,609
6,BAIC Changhe,MPV,2018-02-01,377
6,BAIC Changhe,MPV,2018-03-01,250
6,BAIC Changhe,MPV,2018-04-01,962
6,BAIC Changhe,MPV,2018-05-01,1208
6,BAIC Changhe,MPV,2018-06-01,2332
6,BAIC Changhe,MPV,2018-07-01,136
6,BAIC Changhe,MPV,2018-08-01,3
6,BAIC Changhe,MPV,2018-09-01,228
6,BAIC Changhe,MPV,2018-10-01,692
6,BAIC Changhe,MPV,2018-11-01,1233
6,BAIC Changhe,MPV,2018-12-01,1891
6,BAIC Changhe,MPV,2019-02-01,2725
6,BAIC Changhe,MPV,2019-05-01,739
6,BAIC Changhe,MPV,2019-06-01,2106
6,BAIC Changhe,MPV,2019-10-01,155
6,BAIC Changhe,SUV,2018-01-01,1844
6,BAIC Changhe,SUV,2018-02-01,462
6,BAIC Changhe,SUV,2018-03-01,1483
6,BAIC Changhe,SUV,2018-04-01,2676
6,BAIC Changhe,SUV,2018-05-01,2337
6,BAIC Changhe,SUV,2018-06-01,1199
6,BAIC Changhe,SUV,2018-07-01,221
6,BAIC Changhe,SUV,2018-08-01,764
6,BAIC Changhe,SUV,2018-09-01,581
6,BAIC Changhe,SUV,2018-10-01,1263
6,BAIC Changhe,SUV,2018-11-01,1963
6,BAIC Changhe,SUV,2018-12-01,2089
6,BAIC Changhe,SUV,2019-01-01,969
6,BAIC Changhe,SUV,2019-02-01,502
6,BAIC Changhe,SUV,2019-03-01,1330
6,BAIC Changhe,SUV,2019-04-01,238
6,BAIC Changhe,SUV,2019-05-01,44
6,BAIC Changhe,SUV,2019-06-01,52
6,BAIC Changhe,SUV,2019-07-01,127
6,BAIC Changhe,SUV,2019-08-01,249
6,BAIC Changhe,SUV,2019-09-01,350
6,BAIC Changhe,SUV,2019-10-01,909
6,BAIC Changhe,SUV,2019-11-01,60
6,BAIC Changhe,SUV,2019-12-01,308
6,BAIC Changhe,SUV,2020-03-01,436
6,BAIC Changhe,SUV,2020-04-01,100
6,BAIC Changhe,SUV,2020-05-01,6
6,BAIC Changhe,SUV,2020-06-01,148
6,BAIC Changhe,SUV,2020-12-01,85
6,BAIC Changhe,SUV,2021-12-01,60
6,BAIC Changhe,Sedan,2019-12-01,938
6,BAIC Changhe,Sedan,2020-01-01,641
