Make,Body_Type,MAE,RMSE,N
GAC Honda New Energy,Sedan,3.99868767680209,5.4014706972652045,5
DS Automobiles,Hatchback,5.841535389156906,7.964586765975901,6
Guoji Zhijun,Hatchback,6.223682992390541,6.497949699297669,4
BAIC Changhe,Sedan,11.957052574378062,15.022491505836836,5
DS Automobiles,Sedan,15.730913695957321,19.503879214275845,6
Dongfeng Yulon,SUV,15.748888874184507,17.50672562276927,5
Guoji Zhijun,SUV,17.29642906625206,17.539934794896162,4
Dian Dong Wu,Hatchback,18.689030239414535,31.078214292353593,5
Mianyang Jinbei,SUV,25.47624240003251,28.15838015473321,4
Foday Auto,SUV,25.91111824984777,29.140495728264746,6
BAIC Huansu,MPV,29.441205458355114,51.01034390050233,4
Jiangxi Isuzu,SUV,36.61055078642659,43.86421456240205,11
GAC Mitsubishi New Energy,SUV,41.27407778378392,76.71655267839934,4
Kia,MPV,42.34873382464094,53.387574306801625,6
Bisu Auto,SUV,42.59312132334496,45.6498047579164,7
Great Wall Motors,Sedan,43.13434058708693,58.021154514142914,7
Zhengzhou Nissan,MPV,46.303607533350466,69.3682947864391,8
DS Automobiles,SUV,51.837616191490106,56.54165781047408,13
Xiaohu Auto,Hatchback,54.515079130457345,68.66186748072042,6
Karry Auto,MPV,55.99590903184975,85.61500100330511,10
Foton Motor,Sedan,57.95542552075998,81.04920378656054,10
Geely Auto,MPV,58.966267256150935,76.88269465615443,12
Karry Auto,SUV,62.60132780030748,79.81047814086423,12
Lifan Auto,SUV,63.78732506875573,141.71302703108017,7
Dongfeng Infiniti,SUV,64.46434566401639,89.55059351368948,15
Jiangling Group New Energy,SUV,67.22570432025294,124.82761297421314,5
Yunque Auto,Hatchback,78.90598922642218,85.74762466564455,4
Zotye New Energy,Hatchback,80.3437484711964,102.05141995894023,5
Dongfeng Fengdu,SUV,84.20243550120236,90.5685836101381,4
FAW Jilin,SUV,86.77162721521306,126.72008875316226,5
GAC Toyota New Energy,Sedan,89.20499845637394,97.70575014338854,9
Jiangling Ford,MPV,89.6064328474762,108.22256200461872,13
HYCAN,Sedan,94.00967696617852,133.1418104109281,4
IM Motors,Sedan,96.12288833155402,138.54438244422252,5
Brilliance BMW,Hatchback,98.67293903677476,116.72583329041137,6
Geely New Energy,MPV,105.58697463098208,115.06476670088509,10
Cowin Auto,Sedan,107.13469741408649,129.91535306799466,6
Dayun Auto,MPV,107.22522581866862,136.14951128132512,7
Brilliance Renault,SUV,111.34662403352151,131.84786807352012,4
SAIC Audi,SUV,112.94663482022113,118.39298356178821,5
